晚翠琴 (月深光清) , LH_piano_066, RH_blade_001,
青云剑 (望荆) , RH_sword_029, RH_sword_029,
醉解敌颅·螺红双剑 (凭栏忆云) (凭栏忆云·一) , RH_sword_323, RH_sword_323,
金戈涉川·明久 (已相顾) , RH_knife_077, RH_knife_077,
残旧的白玉刀 (云燕成双) , San_002, San_002,
丁归笛 (迷花) (迷花·一) , D011008, D011008,
丹枫夜蝶 (青橙) , D011034, D011034,
栖玉古琴 (斫良木) , LH_piano_004, RH_blade_004,
戍龙城 (寒江) , RH_spear_133, RH_spear_133,
万里长风·忘忧双剑 (顾盼相思) (顾盼相思·一) , RH_sword_310b, RH_sword_310b,
平沙入天 (昊芒) , RH_spear_109, RH_spear_109,
清宁 (几度幻哉) , RH_sword_170b, RH_sword_170b,
离缘 (有穷无极·二) (有穷无极·三) (有穷无极·五) , RH_sword_196, RH_sword_196,
扬威天下·星影古琴 (一生任性) , LH_piano_022, RH_blade_003,
龙鳞剑·煌光 (君似我) , D007188, D007188,
剑破九州·蜀江弩 (千叶桃头) (千叶桃头·一) , RH_bow_053, RH_bow_053,
桀骜不驯·溪云双剑 (连宵) (连宵·一) , RH_sword_291, RH_sword_291,
轰雷 (踏遍) , D007166, D007166,
猗兰琴 (江上三千曲) , LH_piano_060, RH_blade_059,
酉琅琴 (书味满堂) , LH_piano_024, RH_blade_004,
昊天 , D007296b, D007296b,
血影 (念临州) , RH_knife_018, RH_knife_018,
明灯 (惊禅) , RH_wand_146, RH_wand_146,
骊渊弩 (雄吾壮行) (雄吾壮行·一) , RH_bow_045b, RH_bow_045b,
宿沙轻剑·黯 (愁生) , D007202, D007202,
弄玉 (昭唐) , RH_knife_083, RH_knife_083,
琉璃 (人间事) , RH_brush_026, RH_brush_026,
赤胆横戈·湛茵双剑 (蓝羽青林) (蓝羽青林·一) , RH_sword_211, RH_sword_211,
流川 (鬓云斑) , RH_bow_004, RH_bow_004,
壶中天 (有穷无极·二) (有穷无极·三) (有穷无极·五) , RH_sword_196, RH_sword_196,
丁秀笔 (二三子) , RH_brush_044, RH_brush_044,
神女织仙 (一支孤瑞) , D011084, D011084,
新月刃 (道名逝) , RH_knife_006, RH_knife_006,
和德轻剑 (画舫天影) , RH_sword_162, RH_sword_162,
吞海 (盟马虎守) , RH_Sword_067, RH_Sword_067,
茕兔 (伤中绝) , LH_BDdagger_001, RH_BDknife_001,
亢息伞 (刺锋) , San_028, San_028,
闲疏 (醉涛) , Lh_stick_037, RH_flagon_073,
炎枪重黎 , RH_spear_084, RH_spear_084,
服剑·流霜 (离缺) , RH_sword_006, RH_sword_006,
电萦刀 (玉楼琼舞) , RH_knife_013, RH_knife_013,
风涛豪情·陶欣笔 (玉鸥) (玉鸥·一) , RH_brush_094, RH_brush_094,
宿沙剑·淡 (造化圆通) , RH_sword_230, RH_sword_230,
氐松剑 (云破月影) , RH_sword_341, RH_sword_341,
紫萝怨·思 , RH_brush_116b, RH_brush_116b,
迟钝的精铁刀 (期盼) , D007043, D007043,
燕草碧 , Lh_stick_001, RH_flagon_010,
测试装备 , RH_sword_179, RH_sword_179,
鸾姿 (英雄事) , RH_sword_119, RH_sword_119,
紫竹弩 (小楼夜阑) , RH_bow_021, RH_bow_021,
炼心 (飞骨纤烟) , RH_wand_102b, RH_wand_102b,
古韵悠扬 (丝篁耳) , LH_piano_016, RH_blade_016,
川流 , Lh_stick_001, RH_flagon_010,
寄烟霜 (兴亡散序) , LH_piano_068, RH_blade_001,
奄若枪 (妖邪) , RH_spear_042, RH_spear_042,
毗洒迦檀棍 (善思) , RH_wand_030, RH_wand_030,
灵光弩 (霜头寒菊·二) (霜头寒菊) (霜头寒菊·一) , RH_bow_041, RH_bow_041,
雪云 (欲说千年) , Lh_stick_007, RH_flagon_011,
旷望逝水 (不朽顽丑) (不朽顽丑·一) (不朽顽丑·二) , RH_wand_103, RH_wand_103,
巫祝笛 (一朝) , D011013, D011013,
夜萤笛 (越曲) , D011057b, D011057b,
点东山 (载地) , LH_shield_002, RH_pike_002,
江腹 (定山河) , LH_BDdagger_002, RH_BDknife_002,
宿沙重剑·璨 (风雨终) , D007386, D007386,
星罗·云萧重剑 (冷桥) , D007283, D007283,
紫龙寂地 , RH_spear_115, RH_spear_115, , T_天策95橙武攻击_01
天弦画柱·傲 , RH_spear_104c, RH_spear_104c, , C_天策90小橙武01
甲角双兵 (一杯难忘) , RH_sword_118, RH_sword_118,
醉解敌颅·酩酊棍 (淀痕沉乌) (淀痕沉乌·一) , Lh_stick_045, RH_flagon_081,
醒言 (千古澎湃) , LH_piano_042, RH_blade_017,
灵瓜棍 (蓝碧人) , RH_wand_045, RH_wand_045,
策马扬戈·寒雁盾刀 (素娥冷) (素娥冷·一) , LH_shield_018, RH_pike_018,
六合皂金枪 (离玉) , D010088, D010088,
玄法·谨徽弓 (夜归龙) , RH_bow_022, RH_bow_022,
提卢 (妖邪) , RH_spear_042, RH_spear_042,
煞·血悲 , LH_BDdagger_020, RH_BDknife_020, BD_霸刀橙武dangger020黑红, BD_霸刀橙武knife020黑红
点星 (诸郎君) , RH_brush_017, RH_brush_017,
道冲 (载荆) , RH_sword_280, RH_sword_280,
太白伏虎 (中宵携壶) , Lh_stick_016, RH_flagon_052,
婉叹 (指上听) , LH_piano_003, RH_blade_003,
殷风雷 (沧海怒流) , LH_shield_053, RH_pike_054,
将握 (冥霜) (冥霜·一) , RH_spear_102, RH_spear_102,
铁血丹心·法谏之击 (鬓云斑) , RH_bow_004, RH_bow_004,
初尘 , RH_spear_012, RH_spear_012, , RH_spear_012出尘
知柳 (侍微) , RH_sword_281, RH_sword_281,
申徵剑 (浪舞) , D007157, D007157,
文韬武略·周行剑 (真灵阳神) , RH_sword_262, RH_sword_262,
昊天 , D007296c, D007296c,
寻踪觅宝·三重夏 (沧波瑟惧) , RH_bow_076, RH_bow_076,
测试装备 , RH_knife_040, RH_knife_040b,
孱石 (素娥冷) (素娥冷·一) , LH_shield_018, RH_pike_018,
名动天下·奇绝弓 (千叶桃头) (千叶桃头·一) , RH_bow_053, RH_bow_053,
古朴的清幽剑 (几度幻哉) , RH_sword_170b, RH_sword_170b,
断秋 (云遮眉) , RH_bow_001, RH_bow_001,
君臣石 (碧千帆) , LH_shield_003, RH_pike_003,
相思锦年·螭景笛 (蜂蝶潮涌) , D011083, D011083,
鸾凤 , D011043, D011043,
鲸波荡世·贯虹重剑 (刺陵归塬) (刺陵归塬·一) , D007402, D007402,
云忆 (无据天明) , RH_knife_019, RH_knife_019,
精金双剑 (血海) , RH_Sword_008, RH_Sword_008,
室图棍 (白璧青樱) , RH_wand_102, RH_wand_102,
金错弯刀 (绝塞银蛇) (绝塞银蛇·一) (绝塞银蛇·四) , RH_knife_046b, RH_knife_046b,
烟雨红尘 , RH_brush_093c, RH_brush_093c, , RH_brush_093c_80
浣莲 (闻人泣) , LH_piano_026, RH_blade_006,
赤雪 (暴云) , LH_shield_001, RH_pike_001,
晓寒枪 (云间卫) , RH_spear_117, RH_spear_117,
藏邪 (芳草姑苏) , RH_bow_009, RH_bow_009,
精致竹笛 (今朝相伴) , D011001, D011001,
映香梅 (折花几步) , LH_piano_025, RH_blade_005,
纵横天下·姬玮双剑 (千金苦思) , RH_sword_161, RH_sword_161,
测试装备 (百川吞海) , RH_knife_001, RH_knife_001,
破功双剑 (品流) , RH_sword_017, RH_sword_017,
寻踪觅宝·轻侯 (鸿毛影) , RH_sword_275, RH_sword_275,
天哲 (不断苔生) , RH_brush_101b, RH_brush_101b,
隔丘 (乱香残夜) , San_024, San_024,
新月留影 , LH_BDdagger_027c, RH_BDknife_027c,
交辉·煌 , RH_knife_055b, RH_knife_055b,
竞技场测试用玄蛇笛 (龙蛇) , D011028, D011028,
凤楼引 (星蕴何夕) , D011108, D011108,
 (功成) , D011060b, D011060b,
碧玉腰刀 (道名逝) , RH_knife_006, RH_knife_006,
新雪 (伤中绝) , LH_BDdagger_001, RH_BDknife_001,
 (云遮眉) , RH_bow_001, RH_bow_001,
心猿意马棍 (钻岩) , RH_wand_020, RH_wand_020,
丙烛棒 (镜里花开) , Lh_stick_008, RH_flagon_019,
时节 (沧波瑟惧) , RH_bow_076, RH_bow_076,
虎贲·蓬山琴 (道吾不还) , LH_piano_021, RH_blade_002,
锦绣河山·横江刀 (剑阁横断) , LH_BDdagger_005, RH_BDknife_005,
知音觅兮·古今 (踏湖歌) , RH_wand_082, RH_wand_082,
汲荣枪 (明朝折花) (明朝折花·一) , RH_spear_099, RH_spear_099,
畅梦观云·韫素双剑 (先生莫猜) (先生莫猜·一) , RH_sword_165b, RH_sword_165b,
蛮熊尖椎枪 (尘光) (尘光·一) , D010089b, D010089b,
亥秀重剑 (不诚) , D007230, D007230,
银蛇 (叹息) , RH_Spear_010, RH_Spear_010,
春阳弯刀 (三昧逝) , RH_knife_074, RH_knife_074,
奄若枪 (风邪天香) , RH_spear_087b, RH_spear_087b,
擒龙破军刃 (秋水) , D007186, D007186,
呈朝 (高峰挽) , LH_shield_016, RH_pike_016,
畅梦观云·希旋重剑 (放歌) (放歌·一) , D007305b, D007305b,
谈笑 (眉绝巅·二) (眉绝巅·三) (眉绝巅·五) , RH_spear_098, RH_spear_098,
掩日鬼神棍 (明珠香匣) , Lh_stick_003, RH_flagon_016,
玄辉 (朔漠独归) , RH_knife_093, RH_knife_093,
旋忆 (功成) , D011060b, D011060b,
掩日 , D007256, D007256,
侠少盾刀 (待秋风) , LH_shield_005, RH_pike_005,
听竹未语 (双人调琴) , LH_piano_043, RH_blade_018,
渐离刀 (世系国恨) , LH_BDdagger_003, RH_BDknife_003,
千钧棒·克敌 (金宵) , RH_wand_012, RH_wand_012,
挑马 (影怖卷垂) , LH_shield_012, RH_pike_012,
玉鼎定涛剑 (兰舟) , RH_Sword_086, RH_Sword_086,
碧玉腰刀 (夜吹太酷) , RH_knife_012b, RH_knife_012b,
照影双剑 (星刺) , RH_Sword_005, RH_Sword_005,
汉月孤 (千回梦) (千回梦·一) (千回梦·四) , LH_shield_030b, RH_pike_030b,
双剑照人 (未歌) , RH_Sword_091, RH_Sword_091,
古渡 (一生任性) , LH_piano_022, RH_blade_003,
星罗·飞花搅愁 (等闲幽梦) , RH_brush_087, RH_brush_087,
照浅剑 (限光) , RH_sword_286, RH_sword_286,
羊毫 (淡淡百年) , RH_brush_002, RH_brush_002,
楚狂 (影怖卷垂) , LH_shield_012, RH_pike_012,
碧空龙鸣 , RH_sword_145, RH_sword_145,
天地困人·如烟 (炎辉) , RH_knife_084, RH_knife_084,
缥幽弩 (震铓) , RH_bow_083, RH_bow_083,
明光独尊 , RH_knife_014, RH_knife_014,
甘棠 (香尘春溪) , RH_sword_243, RH_sword_243,
画角连声 (暴云) , LH_shield_001, RH_pike_001,
逝川笔 (无清风) (无清风·一) , RH_brush_106b, RH_brush_106b,
沙门棍 (慈悲言说) , RH_wand_126, RH_wand_126,
山河定鼎·崇安 , LH_shield_081, RH_pike_081,
清残 (沧波瑟惧) , RH_bow_076, RH_bow_076,
化玉 (青橙) , D011034, D011034,
桀骜不驯·陵伽棍 (幻梵) (幻梵·一) , RH_wand_141, RH_wand_141,
别鹤盾刀 (载地) , LH_shield_002, RH_pike_002,
剑啸青穹·秋弦重剑 (折尽英华) (折尽英华·一) , D007331, D007331,
甲罡刀 (定山河) , LH_BDdagger_002, RH_BDknife_002,
煞·燃木 , RH_wand_104, RH_wand_104, , S_少林煞版橙武棍_易经
劫数(删除) (得吾) , RH_wand_033, RH_wand_033,
尘点 (鬓云斑) , RH_bow_004, RH_bow_004,
解诗 (云燕成双) , San_002, San_002,
黄埃笔 (拨云看泉) , RH_brush_122, RH_brush_122,
走月弩 (不知应刺) , RH_bow_075, RH_bow_075,
梓春泽 (此夜相识) (此夜相识·一) (此夜相识·四) , RH_sword_195b, RH_sword_195b,
子蟾笛 (雷鸣) , D011005, D011005,
射凰弩 (霜头寒菊·二) (霜头寒菊) (霜头寒菊·一) , RH_bow_041, RH_bow_041,
醉解敌颅·闲主笔 (怒涛) , RH_brush_052, RH_brush_052,
冰河·琼楼 (飞渡几字) , RH_sword_103, RH_sword_103,
玉狂 (刺锋) , San_028, San_028,
温仪 (不知器) , D007335, D007335,
玉柯 , Lh_stick_001, RH_flagon_010,
风朔双刀 (飒枫) , RH_knife_081, RH_knife_081,
不惑剑 (大道寂寥) , RH_sword_242, RH_sword_242,
河阳棒 (风吹新荷) , Lh_stick_002, RH_flagon_017,
初见日月·水国生 (洞难载) , D007385, D007385,
剑破九州·檀语禅杖 (枯九折) (枯九折·一) , RH_wand_115, RH_wand_115,
测试装备 , RH_sword_344, RH_sword_344, , C_藏剑100级大橙武轻剑01
初晴 (杀乱) (杀乱·一) , RH_wand_072b, RH_wand_072b,
素霓 (一点千古意) , Lh_stick_008, RH_flagon_001,
纯阳外功测试剑 (狂戏) , D007171, D007171,
傲世狂歌·野尘刺 (歌宵) , RH_sword_055, RH_sword_055,
幽怀 (老英雄) , RH_knife_005, RH_knife_005,
水龙吟·惊龙 , RH_sword_320c, RH_sword_321c, S_七秀橙武_c02_加强HD, S_七秀橙武_c01_加强HD
星罗·万象冥观 (重试卷) , RH_sword_110, RH_sword_110,
凤染云 (横吐诺然·二) (横吐诺然·三) (横吐诺然·五) , D011069, D011069,
覆雨翻云·都荔剑 (道冥一) (道冥一·一) , RH_sword_259, RH_sword_259,
碧血丹心·琼柯笛 (虞关) (虞关·一) , D011102, D011102,
策马扬戈·泉湖重剑 (朝夕劫雷) (朝夕劫雷·一) , D007324, D007324,
穿虹 (芳草姑苏) , RH_bow_009, RH_bow_009,
壬明双刀 (朝夕圣魔) , RH_knife_060, RH_knife_060,
笙成剑 (云戏石·二) (云戏石) (云戏石·一) , RH_sword_172, RH_sword_172,
离梦·空思棍 (踏湖歌) , RH_wand_082, RH_wand_082,
侠少琴 (贪古调) , LH_piano_001, RH_blade_001,
寄芳容 (蝉声未绝) , D011080, D011080,
烟雨逍遥 , Lh_stick_007, RH_flagon_004, Lh_stick_003丐帮_棍90, RH_flagon_004橙武
平野郊望 (绝塞银蛇) (绝塞银蛇·一) (绝塞银蛇·四) , RH_knife_046b, RH_knife_046b,
阿里曼追魂枪 (不自在) , D010123, D010123,
癸暮琴 (月深光清) , LH_piano_066, RH_blade_001,
轻离合 (千秋寂然) , RH_sword_326, RH_sword_326,
熟铜棍 (菩提) , RH_wand_011, RH_wand_011,
风转儿 (芙蓉动) , RH_sword_273, RH_sword_273,
荷杀重剑 (暖泥) (暖泥·一) , D007223b, D007223b,
月照青枫·康平笔 (秋月长) (秋月长·一) , RH_brush_109, RH_brush_109,
水玉长生剑 (心铁牙牢·二) (心铁牙牢) (心铁牙牢·一) , RH_sword_178, RH_sword_178,
烽火八方·瑶琰琴 (湖静弦冰) , LH_piano_039, RH_blade_014,
不倒寒灰 (落魄无依) (落魄无依·一) (落魄无依·二) (落魄无依·三) , D011072, D011072,
白崖郁刃 (贤愚) , D007249, D007249,
荷杀重剑 (放歌) (放歌·一) , D007305b, D007305b,
忧亡 (图月勾) , RH_bow_077, RH_bow_077,
博文约礼·横清琴 (斫良木) , LH_piano_004, RH_blade_004,
靖平九州·征轩枪 (壑连城) (壑连城·一) , RH_spear_103, RH_spear_103,
青丹 (载荆) , RH_sword_280, RH_sword_280,
义薄云天·禅云琴 (千鹤响) , LH_piano_017, RH_blade_017,
千山雪 (玉骨遥月) , RH_sword_332, RH_sword_332,
夏无伏阴 (咫尺) (咫尺·一) , D011056b, D011056b,
纵横四海·雨初落蕊 (顾盼相思) (顾盼相思·一) , RH_sword_310b, RH_sword_310b,
玄会 (刺锋) , San_028, San_028,
傲骨寒芒·破云枪 (镇魂荡魄) , RH_spear_135, RH_spear_135,
擂天 (金河倾) , RH_spear_113, RH_spear_113,
桀骜不驯·冬霰盾刀 (元无邻) (元无邻·一) , LH_shield_070, RH_pike_071,
星落强弩 (鬓云斑) , RH_bow_004, RH_bow_004,
庚洪枪 (旧事不念) , RH_spear_074, RH_spear_074,
若海血矛 (盛意) , D010021, D010021,
赤羽疾风·嘉木弩 (仙风胜调) (仙风胜调·一) , RH_bow_048, RH_bow_048,
剖天剑 (阳关叠) , D007108, D007108,
关锋枪 (旧事不念) , RH_spear_074, RH_spear_074,
纵横天下·白治笛 (独善其身) , D011057, D011057,
红铜剑·飞雪 (征烟) , RH_sword_010, RH_sword_010,
鹰翔碧穹 (千回送) (千回送·一) , RH_bow_019, RH_bow_019,
佛尊法谛 (人生实难) (人生实难·一) (人生实难·二) (人生实难·三) , RH_wand_098, RH_wand_098,
织炎断尘 , D007256, D007256, , D007256断尘
骞电 (斑斑化碧) , LH_BDdagger_004, RH_BDknife_004,
焰听琴 (若言有声) , LH_piano_002, RH_blade_002,
卷刚重剑 (暖泥) (暖泥·一) , D007223b, D007223b,
启空铎鞘 (滔天倦) , RH_sword_153b, RH_sword_153b,
殷祭骨笛 (今朝相伴) , D011001, D011001,
堆露笔 (怒涛) , RH_brush_052, RH_brush_052,
豪龙胆 (惧灭) , D010050, D010050,
阳梧 , San_041, San_041, , P_蓬莱80级小橙武伞关
荷香琴 (动群伦) , LH_piano_020, RH_blade_001,
镖头斩刀 (悲白) , LH_BDdagger_007, RH_BDknife_007,
纵横天下·须钧柱 (离娄匹夫) , RH_wand_099, RH_wand_099,
尼苏姆婆·分海 (浪行) , D007118, D007118,
炼心 (澹云) , RH_wand_038, RH_wand_038,
远松枪 (青羽护) , RH_spear_127, RH_spear_127,
武玄刀 (世系国恨) , LH_BDdagger_003, RH_BDknife_003,
初民凶兵 (鬓云斑) , RH_bow_004, RH_bow_004,
剑鸣朔漠·晞物剑 (限光) , RH_sword_286, RH_sword_286,
拍花笛 (奈何累) , D011004, D011004,
浮流意 (溯雪回风) , LH_BDdagger_031, RH_BDknife_031,
电烈星光 (待秋风) , LH_shield_005, RH_pike_005,
赤雪 (孤屿) , LH_shield_006, RH_pike_006,
碧荆晴柳 (朝夕圣魔) , RH_knife_060, RH_knife_060,
测试装备 , RH_bow_042, RH_bow_042,
枯枝万木 (万顷春水) , D007302b, D007302b,
炙锋枭战·宵长剑 (太真同痴) (太真同痴·一) , RH_sword_213, RH_sword_213,
心月澜 , RH_brush_093, RH_brush_093,
云山万重 (碧千帆) , LH_shield_003, RH_pike_003,
炊金双剑 (猿鹤) , RH_sword_036, RH_sword_036,
愁空山 (与归) , RH_bow_079, RH_bow_079,
锥笛 (对镜) , D011006, D011006,
傲骨寒芒·迷颜笛 (戏梦迷情) , D011107, D011107,
疾风琴 (指上听) , LH_piano_003, RH_blade_003,
覆雨翻云·鹿鸣琴 (非魔柔音) (非魔柔音·一) , LH_piano_061, RH_blade_060,
嗔心 (西游空山) (西游空山·一) , RH_brush_114, RH_brush_114,
镖师子母刺 (再遇) , RH_Sword_026, RH_Sword_018,
锥剑 (扁舟) , D007187, D007187,
提玉 (伤中绝) , LH_BDdagger_001, RH_BDknife_001,
天路引归 (时光) (时光·一) , RH_wand_076, RH_wand_076,
轻离 , RH_sword_114, RH_sword_114, D007198寒铁冰魄, D007198寒铁冰魄
泰斗 (绝世) , RH_brush_032, RH_brush_032,
断相思 (横吐诺然) (横吐诺然·一) (横吐诺然·四) , D011069b, D011069b,
泣鱼弩 (玉千杆) , RH_bow_007, RH_bow_007,
云清 (衍乾坤) , RH_sword_314, RH_sword_314,
北斗莲花 (飞骨纤烟) , RH_wand_102b, RH_wand_102b,
万壑蛊音 (僧渡) , D011003, D011003,
壬恭琴 (千古澎湃) , LH_piano_042, RH_blade_017,
扬苴剑 (永昼) , RH_sword_022, RH_sword_022,
劫火 (豪侠意) , Lh_stick_046, RH_flagon_082,
孟冬 (潇湘寒琼) , RH_brush_154, RH_brush_154,
烽火长烟 (孤屿) , LH_shield_006, RH_pike_006,
云雾烟积 (此夜相识·二) (此夜相识·三) (此夜相识·五) , RH_sword_195, RH_sword_195,
雁阵惊寒 (灵台雪饮) , RH_bow_040b, RH_bow_040b,
逝仙 (刺锋) , San_028, San_028,
畴昔之夜 (云遮眉) , RH_bow_001, RH_bow_001,
千峰雨霁 (与归) , RH_bow_079, RH_bow_079,
鸣磬弩 (沧波瑟惧) , RH_bow_076, RH_bow_076,
镇仙骨笛 (落花流水) , D011002, D011002,
蹲循双刀 (扶桑涯雪) (扶桑涯雪·一) , RH_knife_042b, RH_knife_042b,
天山觅雪 (闻人泣) , LH_piano_026, RH_blade_006,
枕戈待战·澹尔笔 (迷霜) , RH_brush_145, RH_brush_145,
玄炎赤霞 (喝问诸葛) , RH_sword_169b, RH_sword_169b,
山海 (细雨来) , RH_Sword_064, RH_Sword_064,
风释盾刀 (天绝官) , LH_shield_051, RH_pike_052,
翔鸾剑 (万卷龙滔) , RH_sword_171, RH_sword_171,
剑鸣朔漠·念游笔 (抱翅) , RH_brush_140, RH_brush_140,
千载古刀 (闭苍回轩) (闭苍回轩·一) , RH_knife_042, RH_knife_042,
无踪 (关山月) , RH_sword_055, RH_sword_055,
煞·太上忘情 , D011063, D011063, , W_五毒煞版橙武笛_毒经
接舆狂 (悬流) , LH_piano_070, RH_blade_001,
当夕 (乱香残夜) , San_024, San_024,
薏芳双剑 (卿与) , RH_sword_307, RH_sword_307,
玉卢 (几度幻哉) , RH_sword_170b, RH_sword_170b,
灵虚大菜刀·星月万里 (冷落) , D007154, D007154,
石化弯刀 (老英雄) , RH_knife_005, RH_knife_005,
点苍笔·游云 (杯酒) , RH_brush_025, RH_brush_025,
离垢 (今生苦) , RH_wand_122, RH_wand_122,
壮志凌云·龙游帽 (水汽冰镜) , LH_shield_004, RH_pike_004,
分军盾刀 (天绝官) , LH_shield_051, RH_pike_052,
寻踪觅宝·弹铗歌 (再碎铁衣) , RH_spear_107, RH_spear_107,
岸水笛 (月舞) (月舞·一) , D011070, D011070,
武侯飞烟 (斫良木) , LH_piano_004, RH_blade_004,
坠露笔 (月临关) , RH_brush_092, RH_brush_092,
慑虏蛇矛 (旧璋) , D010029, D010029,
飒天威 (百年涂炭) , RH_spear_123, RH_spear_123,
力挽狂澜·灵圣笛 (泪鸿) , D011020c, D011020c,
沧波 (红颜吹度·二) (红颜吹度·三) (红颜吹度·五) , RH_brush_110, RH_brush_110,
离哀 (三月清明) (三月清明·一) , RH_knife_020, RH_knife_020,
星幽 (折花几步) , LH_piano_025, RH_blade_005,
一笔随波 (剑侠情缘) , RH_brush_057, RH_brush_057,
初见日月·入江湖 (点花泪) , San_039, San_039,
银光·冰韵 , RH_knife_015, RH_knife_015,
专事灭魔 (绝塞银蛇) (绝塞银蛇·一) (绝塞银蛇·四) , RH_knife_046b, RH_knife_046b,
围泉 (天绝官) , LH_shield_051, RH_pike_052,
肃耳枪 (放心) (放心·一) , RH_spear_061b, RH_spear_061b,
禅定六法 (遗忘) , RH_wand_029, RH_wand_029,
怀古 (剪水入画) , RH_brush_129, RH_brush_129,
逍遥天下·月游笛 (越曲) , D011057b, D011057b,
庚泾轻剑 (苍然伟物) , RH_sword_105, RH_sword_105,
雷霆斩 (天绝官) , LH_shield_051, RH_pike_052,
